ZIP_ID,Zip_Code,City_Name,Population_est,People__Sq_Mile,city_std,lat,lon
162,28117,"Mooresville, North Carolina","18,347",455.89,Mooresville,35.572849,-80.890514
163,28306,"Fayetteville, North Carolina","29,850",452.32,Fayetteville,34.964502,-78.89848
164,27263,"High Point, North Carolina","19,181",446.29,High Point,35.90452,-79.94257
165,27841,"Hassell, North Carolina",40,441.35,Hassell,35.909798,-77.277674
166,27614,"Raleigh, North Carolina","11,045",434.42,Raleigh,35.94831,-78.621619
167,28009,"Badin, North Carolina",978,427.93,Badin,35.407797,-80.105207
168,27896,"Wilson, North Carolina","13,907",425.95,Wilson,35.790773,-77.976801
169,28704,"Arden, North Carolina","14,782",422.14,Arden,35.470295,-82.56597
170,27943,"Hatteras, North Carolina",634,421.24,Hatteras,35.218373,-75.687462
171,28078,"Huntersville, North Carolina","27,883",412.54,Huntersville,35.40529,-80.858891
172,27534,"Goldsboro, North Carolina","32,997",411.2,Goldsboro,35.373342,-77.896598
173,27502,"Apex, North Carolina","44,147",411.07,Apex,35.733469,-78.89296
174,28075,"Harrisburg, North Carolina","14,604",407.33,Harrisburg,35.326909,-80.657686
175,28602,"Hickory, North Carolina","27,482",400.19,Hickory,35.68047,-81.393036
176,28036,"Davidson, North Carolina","10,178",393.4,Davidson,35.480547,-80.792539
177,27949,"Kitty Hawk, North Carolina","6,088",391.18,Kitty Hawk,36.10927,-75.730689
178,27870,"Roanoke Rapids, North Carolina","27,643",388.89,Roanoke Rapids,36.419006,-77.715856
179,28528,"Gloucester, North Carolina",530,385.12,Gloucester,34.732058,-76.538662
180,28677,"Statesville, North Carolina","31,937",382.28,Statesville,35.736732,-80.922989
181,28553,"Marshallberg, North Carolina",528,380.67,Marshallberg,34.734417,-76.513426
182,28757,"Montreat, North Carolina",448,377.62,Montreat,35.654862,-82.291634
183,28025,"Concord, North Carolina","41,384",376.13,Concord,35.378984,-80.520849
184,27040,"Pfafftown, North Carolina","9,562",369.89,Pfafftown,36.16858,-80.381328
185,28729,"Etowah, North Carolina","2,672",365.49,Etowah,35.306797,-82.593506
186,28169,"Waco, North Carolina",234,363.44,Waco,35.358071,-81.430501
187,27288,"Eden, North Carolina","24,878",357.62,Eden,36.497559,-79.74946
188,28590,"Winterville, North Carolina","13,365",356.4,Winterville,35.519043,-77.40879
189,28449,"Kure Beach, North Carolina","1,493",353.34,Kure Beach,33.98117,-77.91862
190,27893,"Wilson, North Carolina","41,199",352.84,Wilson,35.686693,-77.895425
191,27023,"Lewisville, North Carolina","9,923",350.4,Lewisville,36.089764,-80.456727
192,27936,"Frisco, North Carolina",401,348.38,Frisco,35.242441,-75.618528
193,27051,"Walkertown, North Carolina","6,840",347.93,Walkertown,36.183698,-80.16196
194,27568,"Pine Level, North Carolina",74,344.76,Pine Level,35.512027,-78.23925
195,28390,"Spring Lake, North Carolina","20,201",344.12,Spring Lake,35.229779,-78.971284
196,27530,"Goldsboro, North Carolina","38,376",343.57,Goldsboro,35.380668,-78.081405
197,28115,"Mooresville, North Carolina","24,930",339.25,Mooresville,35.58458,-80.778871
198,27801,"Rocky Mount, North Carolina","22,292",336.36,Rocky Mount,35.913276,-77.730779
199,28725,"Dillsboro, North Carolina",94,332.9,Dillsboro,35.371622,-83.254699
200,28089,"Lattimore, North Carolina",262,330.27,Lattimore,35.317496,-81.665397
201,27929,"Currituck, North Carolina",716,329.81,Currituck,36.432236,-76.001589
202,28043,"Forest City, North Carolina","20,383",327.69,Forest City,35.312834,-81.86972
203,28097,"Locust, North Carolina","3,009",326.47,Locust,35.260861,-80.427941
204,28034,"Dallas, North Carolina","14,159",322.06,Dallas,35.353664,-81.178943
205,28658,"Newton, North Carolina","24,978",321.59,Newton,35.628499,-81.239081
206,27540,"Holly Springs, North Carolina","12,367",321.4,Holly Springs,35.624762,-78.859674
207,27045,"Rural Hall, North Carolina","7,179",319.11,Rural Hall,36.234951,-80.296729
208,27253,"Graham, North Carolina","25,198",310.23,Graham,35.966209,-79.347414
209,28467,"Calabash, North Carolina","5,147",308.77,Calabash,33.921875,-78.596865
210,27021,"King, North Carolina","15,984",308.05,King,36.318059,-80.339273
211,28079,"Indian Trail, North Carolina","11,315",306.31,Indian Trail,35.12481,-80.592908
212,28086,"Kings Mountain, North Carolina","24,382",304.7,Kings Mountain,35.243945,-81.378942
213,28739,"Hendersonville, North Carolina","17,515",304.5,Hendersonville,35.272669,-82.526412
214,28367,"Norman, North Carolina",79,302.97,Norman,35.174402,-79.728648
215,28616,"Crossnore, North Carolina",441,299.78,Crossnore,36.028867,-81.923065
216,28016,"Bessemer City, North Carolina","14,363",297.18,Bessemer City,35.316985,-81.300582
217,27516,"Chapel Hill, North Carolina","28,584",296.38,Chapel Hill,35.906252,-79.154758
218,28554,"Maury, North Carolina","1,521",296.32,Maury,35.485305,-77.604911
219,27939,"Grandy, North Carolina","1,690",290.93,Grandy,36.234342,-75.869397
220,27587,"Wake Forest, North Carolina","29,476",285.07,Wake Forest,35.980909,-78.551098
221,28092,"Lincolnton, North Carolina","35,214",283.5,Lincolnton,35.480432,-81.25033
222,28630,"Granite Falls, North Carolina","17,116",282.99,Granite Falls,35.827169,-81.421657
223,28023,"China Grove, North Carolina","12,941",281.95,China Grove,35.571383,-80.608208
224,28792,"Hendersonville, North Carolina","27,062",281.25,Hendersonville,35.383322,-82.369202
225,28342,"Falcon, North Carolina",356,281.06,Falcon,35.191183,-78.651262
226,27890,"Weldon, North Carolina","2,879",280.29,Weldon,36.41418,-77.587745
227,27258,"Haw River, North Carolina","4,985",279.85,Haw River,36.025243,-79.324627
228,28147,"Salisbury, North Carolina","21,864",278.91,Salisbury,35.681117,-80.562942
229,28110,"Monroe, North Carolina","36,515",274.74,Monroe,35.065318,-80.524866
230,28372,"Pembroke, North Carolina","12,337",273.5,Pembroke,34.695605,-79.180446
231,28150,"Shelby, North Carolina","28,690",272.25,Shelby,35.342703,-81.576248
232,27520,"Clayton, North Carolina","32,155",271.25,Clayton,35.631139,-78.441431
233,28152,"Shelby, North Carolina","21,879",270.76,Shelby,35.24272,-81.599412
234,27292,"Lexington, North Carolina","38,889",268.08,Lexington,35.738325,-80.207547
235,28037,"Denver, North Carolina","13,030",267.7,Denver,35.507092,-81.027942
236,28778,"Swannanoa, North Carolina","9,321",265.24,Swannanoa,35.629122,-82.405195
237,27295,"Lexington, North Carolina","34,157",265.04,Lexington,35.867634,-80.317077
238,27217,"Burlington, North Carolina","34,264",263.67,Burlington,36.190945,-79.380186
239,28146,"Salisbury, North Carolina","24,972",262.49,Salisbury,35.620645,-80.414468
240,28006,"Alexis, North Carolina",568,258.3,Alexis,35.410439,-81.09244
241,28076,"Henrietta, North Carolina",249,257.57,Henrietta,35.255987,-81.782755
242,27244,"Elon, North Carolina","10,762",256.79,Elon,36.192849,-79.493855
243,28164,"Stanley, North Carolina","12,662",255.33,Stanley,35.39288,-81.044037
244,28539,"Hubert, North Carolina","12,507",253.14,Hubert,34.703534,-77.199887
245,28732,"Fletcher, North Carolina","12,083",252.22,Fletcher,35.443231,-82.472185
