id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23516374,Charming Cottage Overlooking Downtown AVL- Hot Tub,10453340,Brett,,28801,35.59499,-82.54562,Entire home/apt,200,2,493,2022-09-06,9.00,2,173,88,
23518897,River House Asheville,175669801,Rebecca,,28805,35.59841,-82.46546,Entire home/apt,264,4,34,2022-09-05,0.69,1,210,19,
23523473,"Tiny House [Fenced in yard, 10mins to Downtown]",117926668,Michele & Dana,,28804,35.63323,-82.58861,Entire home/apt,116,1,441,2022-09-05,8.00,1,109,112,
23525377,CLEAN 5 min I-26 Airport 15 Min BILTMORE ASHEVILLE,165230727,Pamela,,28704,35.45282,-82.52076,Entire home/apt,99,2,111,2022-09-04,2.02,2,247,29,
23541284,Granny Smith Suite @ Applewood Manor B&B,175871539,Stephen,,28801,35.60704,-82.56453,Hotel room,270,1,24,2021-06-29,0.45,7,200,0,
23546508,"Biltmore Village Bungalow -Walkable, Stylish,Local",175923012,Two Hammers,,28803,35.56103,-82.53812,Entire home/apt,110,30,16,2022-06-27,0.32,1,209,4,
23558686,Spacious West Asheville,165107573,Monisha,,28806,35.56821,-82.59157,Entire home/apt,146,2,407,2022-09-08,7.56,1,257,78,
23562622,Britt & Ruth's Place Monthly Rental,176072701,The,,28803,35.55986,-82.51746,Entire home/apt,100,28,11,2022-07-06,0.21,2,267,4,
23563574,Downtown Asheville Sunset View - Great Value! -#13,7625694,John,,28801,35.59256,-82.54971,Private room,64,2,75,2022-08-29,1.37,9,328,25,
23564110,New one bedroom apt 5 mins from Downtown Asheville,176087087,Danny,,28806,35.59741,-82.62377,Entire home/apt,88,1,211,2022-07-17,3.84,4,243,22,
23578212,Central Downtown Luxury Contemporary Residence 201,4709573,Peter,,28801,35.59731,-82.55268,Entire home/apt,250,3,64,2022-09-11,1.74,3,286,35,
23579032,Central Downtown Luxury Contemporary Residence 202,4709573,Peter,,28801,35.59731,-82.55268,Entire home/apt,275,3,52,2022-09-04,1.40,3,296,30,
23579231,Central Downtown Luxury Contemporary Residence 301,4709573,Peter,,28801,35.59731,-82.55268,Entire home/apt,600,3,20,2022-08-29,0.61,3,285,8,
23623536,Walking Distance to Downtown Asheville. Clean!,400858996,Brian,,28801,35.59569,-82.56288,Entire home/apt,183,2,181,2022-09-07,3.41,1,161,51,
23628366,Under the Sea,72717376,Liza,,28805,35.58943,-82.47191,Private room,44,1,106,2020-10-31,1.93,3,0,0,
23631557,Asheville’s home sweet home away from home,176828759,Greg And Jenny,,28803,35.55229,-82.51077,Entire home/apt,90,1,69,2022-08-31,1.33,1,231,11,
23644478,Curated Art-Inspired Condo Oasis,176979085,Karen,,28801,35.59848,-82.55506,Entire home/apt,150,1,141,2022-09-11,2.73,5,317,44,
23646431,Oak Tree Bungalow,51827692,Cindy,,28803,35.57829,-82.54654,Entire home/apt,150,28,55,2021-10-30,1.12,1,61,3,
23675467,"Goat Farm, Waffle Bar, 15 Min. to W. Asheville",177298140,Dawn And Ron,,28806,35.64217,-82.66047,Entire home/apt,86,1,316,2022-09-11,5.95,1,128,69,
23715234,Spacious Asheville Studio - A Dream for Couples!,4634736,Bradley,,28804,35.63547,-82.58405,Entire home/apt,84,3,91,2022-08-09,1.66,2,94,20,
23739741,Urban Farmhouse Apartment Near Biltmore Estate,77589736,Jon & Kelly,,28803,35.56321,-82.5388,Entire home/apt,201,2,296,2022-09-06,5.55,1,174,59,
23740885,"Private Cottage with Yard,  Great Location",60348510,Alicia,,28803,35.57258,-82.54744,Entire home/apt,134,3,40,2022-09-11,0.74,2,20,21,
23745497,West Asheville Hideaway,38944655,Kristie,,28806,35.5761,-82.64736,Entire home/apt,125,2,123,2022-09-05,2.26,2,160,20,
23748278,Cortland Cottage @ Applewood Manor B&B,175871539,Stephen,,28801,35.60704,-82.56453,Hotel room,286,1,22,2021-01-02,0.43,7,210,0,
23748724,The Macintosh Suite at Applewood Manor,175871539,Stephen,,28801,35.60704,-82.56453,Private room,301,1,40,2021-06-07,0.73,7,196,0,
23748903,Northern Spy Suite - Applewood Manor,175871539,Stephen,,28801,35.60704,-82.56453,Hotel room,248,1,14,2021-04-18,0.27,7,205,0,
23748992,Winesap Suite - Applewood Manor,175871539,Stephen,,28801,35.60704,-82.56453,Hotel room,281,1,11,2021-06-26,0.22,7,203,0,
23749047,York Imperial - Applewood Manor Bed & Breakfast,175871539,Stephen,,28801,35.60704,-82.56453,Hotel room,281,1,24,2021-06-15,0.45,7,182,0,
