symbol,date,open,high,low,close,volume,adjusted
SPY,2020-02-12,336.829987,337.649994,336.429993,337.420013,43992700,323.135773
SPY,2020-02-13,335.859985,338.119995,335.559998,337.059998,54501900,322.790985
SPY,2020-02-14,337.51001,337.730011,336.200012,337.600006,64582200,323.308136
SPY,2020-02-18,336.51001,337.670013,335.209991,336.730011,57226200,322.474915
SPY,2020-02-19,337.790009,339.079987,337.480011,338.339996,48814700,324.016846
SPY,2020-02-20,337.73999,338.640015,333.679993,336.950012,74163400,322.685638
SPY,2020-02-21,335.470001,335.809998,332.579987,333.480011,113788200,319.362518
SPY,2020-02-24,323.140015,333.559998,321.23999,322.420013,161088400,308.770721
SPY,2020-02-25,323.940002,324.609985,311.690002,312.649994,218913200,299.414307
SPY,2020-02-26,314.179993,318.109985,310.700012,311.5,194773800,298.313019
SPY,2020-02-27,305.459991,311.559998,297.51001,297.51001,284353500,284.915222
SPY,2020-02-28,288.700012,297.890015,285.540009,296.26001,384975800,283.718231
SPY,2020-03-02,298.209991,309.160004,294.459991,309.089996,238703600,296.005096
SPY,2020-03-03,309.5,313.839996,297.570007,300.23999,300139100,287.529694
SPY,2020-03-04,306.119995,313.100006,303.329987,312.859985,176613400,299.615479
SPY,2020-03-05,304.980011,308.470001,300.01001,302.459991,186366800,289.655731
SPY,2020-03-06,293.149994,298.779999,290.230011,297.459991,228667200,284.867371
SPY,2020-03-09,275.299988,284.190002,273.450012,274.230011,309417300,262.620819
SPY,2020-03-10,284.640015,288.519989,273.5,288.420013,276444100,276.210083
SPY,2020-03-11,280.700012,281.940002,270.880005,274.359985,255316300,262.74527
SPY,2020-03-12,256,266.660004,247.679993,248.110001,392220700,237.606552
SPY,2020-03-13,263.089996,271.480011,248.520004,269.320007,329566100,257.91864
SPY,2020-03-16,241.179993,256.899994,237.360001,239.850006,297240000,229.696228
SPY,2020-03-17,245.039993,256.170013,237.070007,252.800003,262070500,242.098022
SPY,2020-03-18,236.25,248.369995,228.020004,240,327597100,229.839905
SPY,2020-03-19,239.25,247.380005,232.220001,240.509995,289322000,230.328278
SPY,2020-03-20,242.529999,244.470001,228.5,228.800003,347158800,220.402496
SPY,2020-03-23,228.190002,229.679993,218.259995,222.949997,326025200,214.767197
SPY,2020-03-24,234.419998,244.100006,233.800003,243.149994,235494500,234.225815
SPY,2020-03-25,244.869995,256.350006,239.75,246.789993,299430300,237.732193
SPY,2020-03-26,249.520004,262.799988,249.050003,261.200012,257632800,251.613373
SPY,2020-03-27,253.270004,260.809998,251.050003,253.419998,224341200,244.118866
SPY,2020-03-30,255.699997,262.429993,253.529999,261.649994,171369500,252.046814
SPY,2020-03-31,260.559998,263.329987,256.220001,257.75,194881100,248.289978
SPY,2020-04-01,247.979996,257.660004,243.899994,246.149994,189554600,237.115692
SPY,2020-04-02,245.190002,252.679993,244.589996,251.830002,177660400,242.587234
SPY,2020-04-03,250.759995,253.320007,245.220001,248.190002,135561200,239.080826
SPY,2020-04-06,257.839996,267,248.169998,264.859985,188061200,255.139008
SPY,2020-04-07,274.209991,275.029999,264.890015,265.130005,201427200,255.399048
SPY,2020-04-08,267.959991,276,265.25,274.029999,153774500,263.972412
