id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50979921,♥Clean & Convenient~ near hospital♥KG BD♥Fast Wifi,398461115,Ardanes,,Parkland,26.33483,-80.20444,Entire home/apt,86,1,16,2022-07-04,1.25,3,179,13,"000023184, 2021138585"
4071696,The Yacht Club at Aventura. Waterview 1 Bedroom,21118233,Alejandro,,Hallandale Beach,25.95866,-80.13031,Entire home/apt,110,7,26,2022-07-27,0.34,1,250,5,
26081527,PRIVATE BEDROOM IN BEAUTIFUL HOME IN MIAMI LAKES,125415339,Susy,,Miramar,25.93905,-80.34604,Private room,54,2,55,2022-05-29,1.07,6,355,13,STR-20200
17345509,RESORT STYLE IN AVENTURA,1274072,Marcelo,,Hallandale Beach,25.95885,-80.12965,Entire home/apt,150,7,27,2022-07-23,0.42,1,233,6,
569639189421902543,Lovely 1 private bedroom rental with amenities,426552730,Eduardo,,Miramar,25.93989,-80.31156,Private room,30,31,0,,,1,153,0,
4369442,LUX APT ACROSS THE BEACH 3B.ROOM/2BATH 1 FREE PARK,22681172,Tina,,Hallandale Beach,25.95477,-80.12085,Entire home/apt,160,4,203,2022-08-07,2.16,1,324,24,SRT-00356
10847871,Private Lake House Apartment Miami Country Club,56184676,Jim,,Miramar,25.9512,-80.30482,Entire home/apt,70,60,6,2022-07-31,0.08,1,178,1,
16284493,Luxury Dream Condo near Beach,23379558,Francis,,Hallandale Beach,25.95949,-80.13709,Entire home/apt,225,5,43,2022-08-06,0.63,2,61,9,
15971960,"Boca Raton 3/2/Pool, 2 mi. to Beach",94541691,Johanna,,Deerfield Beach,26.34314,-80.10493,Entire home/apt,299,3,111,2022-08-30,1.57,1,37,11,"000014089, 2019114909"
38662947,"Two Bedroom Queen, Steps from Hollywood Beach",293670097,Villa Europa,,Hollywood,26.0238,-80.11444,Hotel room,283,2,1,2021-04-09,0.06,9,290,0,
638982995906284040,Miami  Oasis with Pool  great for families!,257055731,Aron,,Miramar,25.93887,-80.3487,Entire home/apt,671,3,1,2022-09-09,1,2,342,1,2329689001
19439164,Beach Condo,11864367,Adriana,,Hollywood,25.99404,-80.11669,Entire home/apt,95,30,3,2022-08-10,0.07,1,200,1,
20092480,Hollywood Beach/Boardwalk Condo,17166552,Jessie,,Hollywood,26.02789,-80.11421,Entire home/apt,125,3,73,2022-08-18,1.21,1,221,24,
